session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Nationality,Employment Status,First Language,Country of Birth,Sex,Political Spectrum (US),Current Country of Residence,Student Status
5dd4e87dffc3d84a8bec7064,5aa02ab689de8200013f3dab,AWAITING REVIEW,2019-11-20 07:17:19.384000,2019-11-20 07:19:15.888000,116.504,21,283,4,98,,4D8547F3,United States,Other,English,United States,Male,Conservative,United States,No
5dd4e8e17cc9734a7a9b96a3,5d66cd8fbda509001a1bdefa,AWAITING REVIEW,2019-11-20 07:19:01.313000,2019-11-20 07:19:38.802000,37.489,38,97,1,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,,No
5dd4e9650605eb4b4bb15c6e,5a5da588f6c51700019527c4,AWAITING REVIEW,2019-11-20 07:21:13.985000,2019-11-20 07:22:48.889000,94.904,36,490,6,98,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,Yes
5dd4ea0ec944d14abb0dc5c8,5563984afdf99b672b5749b6,AWAITING REVIEW,2019-11-20 07:23:58.920000,2019-11-20 07:48:39.241000,1480.321,38,1129,9,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4ea30e4f4a04afd186713,5c9b11249cd82b00174fd7ad,AWAITING REVIEW,2019-11-20 07:24:34.534000,2019-11-20 07:27:34.189000,179.655,36,176,2,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4eb9bdd9a744b6eb182f8,5d1521eeb296b500017df9e4,AWAITING REVIEW,2019-11-20 07:30:43.418000,2019-11-20 07:36:47.153000,363.735,48,151,1,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Female,Conservative,United States,Yes
5dd4ec0b7d45954a1215010b,569ad7c8af9ad7000b64253d,AWAITING REVIEW,2019-11-20 07:32:31.949000,2019-11-20 07:34:03.540000,91.591,61,526,1,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United States,No
5dd4ed5c8a3c5e4b047fe491,5d64939d0d4a200001d27315,AWAITING REVIEW,2019-11-20 07:38:07.037000,2019-11-20 07:40:28.725000,141.688,27,64,0,100,,4D8547F3,United States,Full-Time,Spanish,Mexico,Male,Conservative,United States,No
5dd4edd0cf8e7e4af9e8b621,5da926115c6987001535a2da,AWAITING REVIEW,2019-11-20 07:40:14.883000,2019-11-20 07:42:14.022000,119.139,56,33,1,99,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,,No
5dd4ef7f307b8d4b5602efec,5c330cefca23620001b262b1,AWAITING REVIEW,2019-11-20 07:47:16.687000,2019-11-20 07:56:21.492000,544.805,54,88,0,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,Conservative,United States,DATA EXPIRED
5dd4f0723228864badfc720d,5a70abe2efd3a70001210578,AWAITING REVIEW,2019-11-20 07:51:16.918000,2019-11-20 07:58:11.594000,414.676,72,188,0,100,,4D8547F3,United States,Part-Time,English,United States,Female,Conservative,United States,No
5dd4f0c111d4944b40591e3d,5d1f71def861790016fafb83,AWAITING REVIEW,2019-11-20 07:52:40.870000,2019-11-20 07:57:35.161000,294.291,40,172,1,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4f1cdd3ac2a4b14a40cf1,55b6ed4afdf99b437183fa6f,AWAITING REVIEW,2019-11-20 07:57:04.143000,2019-11-20 08:03:18.074000,373.931,46,939,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4f375d3ac2a4ab2e7b0ef,5d9bfa529d2a70001886a197,AWAITING REVIEW,2019-11-20 08:04:15.128000,2019-11-20 08:08:56.727000,281.599,32,28,1,98,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United States,No
5dd4f42a7982974b90871bf9,5c634094e30ff200016baccb,AWAITING REVIEW,2019-11-20 08:07:48.668000,2019-11-20 08:10:35.584000,166.916,19,347,1,100,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,United States,No
5dd4f55680123f4bb7d67e05,5cb5405dc6a3a70018dd15a8,RETURNED,2019-11-20 08:12:08.362000,,47306.819012,20,122,2,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5dd4f5af1c219b4b42007b0c,5c567e2acc53750001751cb0,AWAITING REVIEW,2019-11-20 08:13:38.090000,2019-11-20 08:18:52.619000,314.529,70,332,0,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,Conservative,United States,No
5dd4f997149f534b72cdc184,5db3b031efa9f6000cf02400,AWAITING REVIEW,2019-11-20 08:30:18.500000,2019-11-20 08:34:36.777000,258.277,21,77,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4fb1a7aa0d64c53ec5867,5d849ee0a954540019f513dd,AWAITING REVIEW,2019-11-20 08:36:44.278000,2019-11-20 08:39:53.644000,189.366,30,82,1,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4fb22eb39734aebaaa935,5d8bf44548909c00178989df,AWAITING REVIEW,2019-11-20 08:36:52.801000,2019-11-20 08:42:23.226000,330.425,29,83,0,100,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,United States,No
5dd4fc18e4bf204aeff6138b,5c1655c7ad682500017070d2,AWAITING REVIEW,2019-11-20 08:40:57.573000,2019-11-20 08:44:28.706000,211.133,31,344,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4fd392a30ac4b959e88ac,5995be89f9db7d0001895993,AWAITING REVIEW,2019-11-20 08:45:53.976000,2019-11-20 08:55:06.116000,552.14,61,76,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4ff5a4fee994b589c2b85,5b56abd5303c330001664b51,AWAITING REVIEW,2019-11-20 08:54:52.862000,2019-11-20 08:56:49.221000,116.359,34,564,7,98,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd500ccaf16d34ccf5967ae,5ccedad53734bb001b27a68b,AWAITING REVIEW,2019-11-20 09:01:03.248000,2019-11-20 09:07:35.809000,392.561,50,171,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd502293683dc4b1320fe69,5cbbc629781465000163932c,AWAITING REVIEW,2019-11-20 09:06:51.801000,2019-11-20 09:07:20.217000,28.416,24,77,3,93,,4D8547F3,United States,Other,English,United States,Male,Conservative,United States,No
5dd5026dcc19204b7bf09250,5b771a3d805c3f00012e07fe,AWAITING REVIEW,2019-11-20 09:07:59.036000,2019-11-20 09:10:39.123000,160.087,34,270,2,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,Germany,No
5dd50310e9a0ba4be82a7934,5be769f53b047e0001a39b01,AWAITING REVIEW,2019-11-20 09:10:43.218000,2019-11-20 09:21:47.102000,663.884,60,151,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United Kingdom,Female,Conservative,United States,No
5dd50483b039ab4ba6b99ee0,5c6f64cdcacbc8000113ed19,AWAITING REVIEW,2019-11-20 09:16:55.425000,2019-11-20 09:25:22.356000,506.931,52,225,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd504969b61044bb97359c2,5da8c3e47757fd0017315b85,AWAITING REVIEW,2019-11-20 09:17:13.441000,2019-11-20 09:20:04.131000,170.69,21,27,0,100,,4D8547F3,United States,Other,English,United States,Male,Conservative,United States,Yes
5dd50556961cb34c54828827,5c1976c90d57c30001b4162c,AWAITING REVIEW,2019-11-20 09:20:34.633000,2019-11-20 09:30:44.109000,609.476,68,87,0,100,,4D8547F3,United States,Unemployed (and job seeking),English,United States,Female,Conservative,United States,No
5dd5069eef41974ba9852330,5bc8897f462bdb0001a61426,AWAITING REVIEW,2019-11-20 09:25:57.915000,2019-11-20 09:27:03.274000,65.359,37,500,1,100,,4D8547F3,United States,Due to start a new job within the next month,English,United States,Male,Conservative,United States,No
5dd506ef9b66eb4cf8e64e12,5c3d76866ce2f80001317da2,AWAITING REVIEW,2019-11-20 09:27:53.201000,2019-11-20 09:32:58.965000,305.764,59,350,0,100,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,Canada,No
5dd50764149f534b72cdc18f,5825dc1f7fcbaa000134776e,AWAITING REVIEW,2019-11-20 09:29:16.999000,2019-11-20 09:34:05.023000,288.024,60,1201,3,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd508f382a5274cc5217dfd,5d68617918cff500013f0bb8,AWAITING REVIEW,2019-11-20 09:35:50.477000,2019-11-20 09:40:50.084000,299.607,30,80,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
