session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Student Status,Sex,Country of Birth,Nationality,First Language,Political Spectrum (US),Employment Status,Current Country of Residence
5dd4db30e0b21b4b3d3bd0fd,5da79692e7d12f00165fbe54,AWAITING REVIEW,2019-11-20 06:20:32.483000,2019-11-20 06:24:24.127000,231.644,20,80,1,100,,4D8547F3,No,Female,United States,United States,English,Liberal,DATA EXPIRED,United States
5dd4db373683dc4a063b922b,59278c090220760001fda664,AWAITING REVIEW,2019-11-20 06:20:58.968000,2019-11-20 06:24:18.805000,199.837,21,68,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dd4db3c18beb64a3f6a57df,5c662bfcc3aaf50001c67aab,AWAITING REVIEW,2019-11-20 06:20:46.791000,2019-11-20 06:23:01.293000,134.502,18,303,0,100,,4D8547F3,Yes,Male,Russian Federation,United States,English,Liberal,Other,United States
5dd4db425c56384ae6e69e12,5d4271aa397a630001f3c191,AWAITING REVIEW,2019-11-20 06:20:53.315000,2019-11-20 06:21:45.607000,52.292,33,62,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,Full-Time,United States
5dd4db4cac504a4a98362eb0,5c46cd391ddd660001ca68a4,AWAITING REVIEW,2019-11-20 06:21:03.300000,2019-11-20 06:23:10.688000,127.388,33,404,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4db5de426bd49e8e2bdbd,5c31f92c23f1c60001a6a3e8,AWAITING REVIEW,2019-11-20 06:21:18.865000,2019-11-20 06:26:24.042000,305.177,24,242,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Other,United States
5dd4db67fbb5735af1dc59ec,5d59d45f44609300152e3404,AWAITING REVIEW,2019-11-20 06:21:27.273000,2019-11-20 06:24:47.056000,199.783,20,155,4,95,,4D8547F3,Yes,Male,Vietnam,United States,Vietnamese,Liberal,Unemployed (and job seeking),United States
5dd4db688ed6bf4a1f5a21c4,5d923c2e235f4b0017f269c2,AWAITING REVIEW,2019-11-20 06:21:33.812000,2019-11-20 06:27:37.741000,363.929,35,87,1,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dd4db6983e3094a657d5b5b,5b0763afa84dcf0001bef586,AWAITING REVIEW,2019-11-20 06:21:34.826000,2019-11-20 06:31:16.604000,581.778,30,564,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dd4db6e954d194a2c897a61,5a8e310b17ef35000170e0a8,AWAITING REVIEW,2019-11-20 06:21:37.313000,2019-11-20 06:24:33.619000,176.306,23,85,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4db7082569a4a45aa5be1,5b7ca5e38a78ff000189cf02,AWAITING REVIEW,2019-11-20 06:21:41.551000,2019-11-20 06:35:17.758000,816.207,28,437,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dd4db71954d194a2c897a62,5c02a041c776820001bd6b41,AWAITING REVIEW,2019-11-20 06:21:39.465000,2019-11-20 06:23:40.715000,121.25,40,291,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dd4db7696afdf4a5cb9331c,5c6ef060f9ff2700016f0f6c,AWAITING REVIEW,2019-11-20 06:21:45.954000,2019-11-20 06:22:36.211000,50.257,39,377,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dd4db7b3708104a4b7b72b1,5dbf466c3e8c0f3ef727b197,AWAITING REVIEW,2019-11-20 06:22:05.441000,2019-11-20 06:23:16.677000,71.236,29,49,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,Part-Time,United States
